NOMBRE;D.N.I. ;DEPARTAMENTO
Manzano Benítez, Ignacio;10269268K;SOPLADO
Benítez Serrano, Olga;10275660L;SOPLADO
Serrano Durán, Nicolás;10282126E;SOPLADO
Durán Rojas, Lourdes;10288666F;SOPLADO
Rojas Segura, Julio;10295280C;CALIDAD
Segura Peñalver, Piedad;10301968S;CALIDAD
Peñalver Aguado, Arturo;10308730S;CALIDAD
Aguado Camacho, Mercedes;10315566C;CALIDAD
Camacho Vera, Santiago;10322476F;CALIDAD
Vera Hidalgo, Inmaculada;10329460E;CALIDAD
Hidalgo Gallardo, Ángel;10336518L;CALIDAD
Gallardo Esteban, Soledad;10343650K;CALIDAD
Esteban Pardo, José Luis;10350856M;CALIDAD
Pardo Bermejo, Remedios;10358136V;CALIDAD
Bermejo Santana, Joaquín;10365490B;CALIDAD
Santana Mora, Carolina;10372918X;CALIDAD
Mora Tejada, Gregorio;10380420Z;CALIDAD
Tejada Roldán, Consuelo;10387996T;CALIDAD
Roldán Zamora, Valentín;10395646Z;CALIDAD
Zamora Pacheco, Esperanza;10403370X;ELABORACIÓN
Pacheco Varela, Rodrigo;10411168B;ELABORACIÓN
Varela Salazar, Dolores;10419040V;ELABORACIÓN
Salazar Cuesta, Mateo;10426986M;ELABORACIÓN
Cuesta Pereira, Paloma;10435006K;ELABORACIÓN
Pereira Luque, Abel;10443100L;ELABORACIÓN
Luque Bermúdez, Elvira;10451268E;ELABORACIÓN
Bermúdez Otero, César;10459510F;ELABORACIÓN
Otero Miranda, Gloria;10467826C;ELABORACIÓN
Miranda Salas, Rubén;10476216S;ELABORACIÓN
Salas Conde, Josefa;10484680S;ELABORACIÓN
Conde Aranda, León;10493218C;ELABORACIÓN
Aranda Valero, Manuela;10501830F;ELABORACIÓN
Valero Quiroga, Darío;10510516E;ELABORACIÓN
Quiroga Espinosa, Marisol;10519276L;ELABORACIÓN
Espinosa Ríos, Ernesto;10528110K;MANTENIMIENTO
Ríos Barrera, Rosario;10537018M;MANTENIMIENTO
Barrera Figueroa, Héctor;10546000V;MANTENIMIENTO
Figueroa Palacios, Aurora;10555056B;MANTENIMIENTO
Palacios Soria, Ismael;10564186X;MANTENIMIENTO
Soria Castaño, Adela;10573390Z;MANTENIMIENTO
Castaño Barroso, Cristóbal;10582668T;MANTENIMIENTO
Barroso Millán, Concepción;10592020Z;MANTENIMIENTO
Millán Acosta, Germán;10601446X;MANTENIMIENTO
Acosta Bernal, Josefina;10610946B;MANTENIMIENTO
Bernal Pineda, Esteban;10620520V;MANTENIMIENTO
Pineda Villanueva, Magdalena;10630168M;MANTENIMIENTO
Villanueva Escudero, Félix;10639890K;MANTENIMIENTO
Escudero Tapia, Encarnación;10649686L;MANTENIMIENTO
Tapia Carrillo, Simón;10659556E;MANTENIMIENTO
Carrillo Arroyo, Francisca;10669500F;MEJORA CONTINUA
Arroyo Pedrosa, Braulio;10679518C;MEJORA CONTINUA
Pedrosa Maldonado, Daniela;10689610S;MEJORA CONTINUA
Maldonado Ochoa, Cornelio;10699776S;MEJORA CONTINUA
Ochoa Santamaría, Josefa María;10710016C;MEJORA CONTINUA
Santamaría Requena, Lorenzo;10720330F;MEJORA CONTINUA
Requena Trujillo, Araceli;10730718E;MEJORA CONTINUA
